"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create file with empty filename","LMS service","Mon Nov 10 12:46:40 UTC 2025","passed","Mon Nov 10 12:46:40 UTC 2025","Validate entity","Files","",""
"","19","Delete file","LMS service","Mon Nov 10 12:46:41 UTC 2025","passed","Mon Nov 10 12:46:41 UTC 2025","Delete entity","Files","",""
"","31","Update course","LMS service","Mon Nov 10 12:46:35 UTC 2025","passed","Mon Nov 10 12:46:35 UTC 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Mon Nov 10 12:46:40 UTC 2025","passed","Mon Nov 10 12:46:40 UTC 2025","Get entity","Files","",""
"","22","Get exercises","LMS service","Mon Nov 10 12:46:38 UTC 2025","passed","Mon Nov 10 12:46:38 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Mon Nov 10 12:46:43 UTC 2025","passed","Mon Nov 10 12:46:43 UTC 2025","Get entity","Users","",""
"","554","Create user","LMS service","Mon Nov 10 12:46:41 UTC 2025","passed","Mon Nov 10 12:46:41 UTC 2025","Create entity","Users","",""
"","548","Login with correct email and password","LMS service","Mon Nov 10 12:46:33 UTC 2025","passed","Mon Nov 10 12:46:34 UTC 2025","Login","Authentication","",""
"","31","Get courses","LMS service","Mon Nov 10 12:46:34 UTC 2025","passed","Mon Nov 10 12:46:34 UTC 2025","Get entities","Courses","",""
"","27","Create course","LMS service","Mon Nov 10 12:46:35 UTC 2025","passed","Mon Nov 10 12:46:35 UTC 2025","Create entity","Courses","",""
"","19","Create exercise","LMS service","Mon Nov 10 12:46:36 UTC 2025","passed","Mon Nov 10 12:46:36 UTC 2025","Create entity","Exercises","",""
"","555","Create user","LMS service","Mon Nov 10 12:46:42 UTC 2025","passed","Mon Nov 10 12:46:42 UTC 2025","Create entity","Users","",""
"","16","Delete exercise","LMS service","Mon Nov 10 12:46:37 UTC 2025","passed","Mon Nov 10 12:46:37 UTC 2025","Delete entity","Exercises","",""
"","23","Create file","LMS service","Mon Nov 10 12:46:38 UTC 2025","passed","Mon Nov 10 12:46:38 UTC 2025","Create entity","Files","",""
"","25","Update exercise","LMS service","Mon Nov 10 12:46:36 UTC 2025","passed","Mon Nov 10 12:46:36 UTC 2025","Update entity","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Mon Nov 10 12:46:42 UTC 2025","passed","Mon Nov 10 12:46:42 UTC 2025","Validate entity","Files","",""
"","517","Create user","LMS service","Mon Nov 10 12:46:41 UTC 2025","passed","Mon Nov 10 12:46:42 UTC 2025","Create entity","Users","",""
"","23","Get exercise","LMS service","Mon Nov 10 12:46:37 UTC 2025","passed","Mon Nov 10 12:46:37 UTC 2025","Get entity","Exercises","",""
"","16","Create file with empty directory","LMS service","Mon Nov 10 12:46:41 UTC 2025","passed","Mon Nov 10 12:46:41 UTC 2025","Validate entity","Files","",""
